step_number,epoch_number,training_loss
1,0,1.5272655487060547
2,0,1.2229149341583252
3,0,0.9666285514831543
4,0,0.726012110710144
5,0,0.7932339310646057
6,0,0.6245148181915283
7,0,0.7026894092559814
8,0,0.6786635518074036
9,0,0.5758876800537109
10,0,0.6041184663772583
11,0,0.5195063352584839
12,0,0.4860847294330597
13,0,0.5340040922164917
14,0,0.4908755123615265
15,0,0.4942532777786255
16,0,0.4796489477157593
17,0,0.40645456314086914
18,0,0.4179387092590332
19,0,0.4369508922100067
20,0,0.4113697111606598
21,0,0.3685120940208435
22,0,0.5026350021362305
23,0,0.43266260623931885
24,0,0.4211024343967438
25,0,0.4279802441596985
26,0,0.35781174898147583
27,0,0.3618526756763458
28,0,0.4487096667289734
29,0,0.4429829716682434
30,0,0.3337599039077759
31,0,0.2791087329387665
32,0,0.3601093888282776
33,0,0.3372611999511719
34,0,0.36735859513282776
35,0,0.32096463441848755
36,0,0.31769442558288574
37,0,0.327197790145874
38,0,0.29881560802459717
39,0,0.3519943952560425
40,0,0.30178922414779663
41,0,0.26649168133735657
42,0,0.31738829612731934
43,0,0.2798173427581787
44,0,0.30004459619522095
45,0,0.329448401927948
46,0,0.3278963267803192
47,0,0.3011206388473511
48,0,0.20231489837169647
49,0,0.24685409665107727
50,0,0.26289188861846924
51,0,0.23470887541770935
52,0,0.29880863428115845
53,0,0.22737500071525574
54,0,0.2749408185482025
55,0,0.23493324220180511
56,0,0.24605028331279755
57,0,0.24234628677368164
58,0,0.275471568107605
59,0,0.2926904261112213
60,0,0.22202977538108826
61,0,0.24122808873653412
62,0,0.22618184983730316
63,0,0.2540598511695862
64,0,0.19094020128250122
65,0,0.20356830954551697
66,0,0.20699048042297363
67,0,0.15529808402061462
68,0,0.25199320912361145
69,0,0.1751600205898285
70,0,0.225128635764122
71,0,0.22216135263442993
72,0,0.19177237153053284
73,0,0.22689691185951233
74,0,0.1768699437379837
75,0,0.22410565614700317
76,0,0.16003990173339844
77,0,0.19659189879894257
78,0,0.18541894853115082
79,0,0.16363094747066498
80,0,0.17530837655067444
81,0,0.20150211453437805
82,0,0.16906586289405823
83,0,0.1283593326807022
84,0,0.19684728980064392
85,0,0.17943784594535828
86,0,0.15385526418685913
87,0,0.18405750393867493
88,0,0.19213849306106567
89,0,0.15365374088287354
90,0,0.23150697350502014
91,0,0.14063997566699982
92,0,0.1897820383310318
93,0,0.1433420181274414
94,0,0.16734877228736877
95,0,0.1163129061460495
96,0,0.14943963289260864
97,0,0.15916691720485687
98,0,0.1614125818014145
99,0,0.1305985301733017
100,0,0.16596274077892303
101,0,0.15014100074768066
102,0,0.11607053130865097
103,0,0.13691562414169312
104,0,0.14766784012317657
105,0,0.15168294310569763
106,0,0.13587385416030884
107,0,0.1622517853975296
108,0,0.11887698620557785
109,0,0.12940044701099396
110,0,0.13619962334632874
111,0,0.08868153393268585
112,0,0.13394874334335327
113,0,0.10666614025831223
114,0,0.1332371085882187
115,0,0.10925063490867615
116,0,0.10384173691272736
117,0,0.09236293286085129
118,0,0.15655368566513062
119,0,0.07400549203157425
120,0,0.12188149243593216
121,0,0.0920376256108284
122,0,0.140338733792305
123,0,0.13383477926254272
124,0,0.12563256919384003
125,0,0.11049322783946991
126,0,0.09700925648212433
127,0,0.07574526965618134
128,0,0.08392751216888428
129,0,0.08650638908147812
130,0,0.14126330614089966
131,0,0.13941481709480286
132,0,0.12402884662151337
133,0,0.09427963197231293
134,0,0.12897272408008575
135,0,0.10344627499580383
136,0,0.11530489474534988
137,0,0.10354597866535187
138,0,0.09214380383491516
139,0,0.09614482522010803
140,0,0.13388770818710327
141,0,0.14711704850196838
142,0,0.13558167219161987
143,0,0.10660777986049652
144,0,0.09452853351831436
145,0,0.12619566917419434
146,0,0.07941926270723343
147,0,0.11866776645183563
148,0,0.0889265164732933
149,0,0.08762867003679276
150,0,0.08440990746021271
151,0,0.12921351194381714
152,0,0.09330001473426819
153,0,0.08163896948099136
154,0,0.1318051666021347
155,0,0.09196069836616516
156,0,0.07819007337093353
157,0,0.11862734705209732
158,0,0.07773233950138092
159,0,0.07044505327939987
160,0,0.09665092825889587
